ID	SRCID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	ANNOTATIONS	COMMENT
283	faeces	faeces	675	FAECES	liver / fragments, splinters, sawdust / excrement; bowel movement; sawdust, wood shavings / manure / excrement, waste products / feces / faeces / faeces, bowel movement, excrement / sawdust, excrement / bowels / intestines / faeces, intestines / excreta	
284	far	far	1406	FAR	far / towards that one, with that one (person) / be far / distant / far away, distant / [P] / far away / -	
285	far-away	far away				
286	farm	farm	201	FARM	garden	
287	fast	fast	1631	FAST		
288	fat	fat	323	FAT (ORGANIC SUBSTANCE)	fat, oil / melted fat / (its) fat / body fat / kɔn fʌt / on meat / sweetness / of nuts / 'gove / fat (grease) / fat/grease / pig grease / typo in source? / Daga - agua / fat / fat of meat, blubber / fat (his) / grease / oil / fat, grease / of meat	
289	father	father	1217	FATHER	father / father, your father (inalienably possessed kin term) / father, father's brother, mother's husband; priest / child's address / father, father's brother, mother's sister's husband / my/our father / sister (of woman) / boss, chief / uncle / my father / old men, chiefs / apča / + / (his, her, their) father / father.3POSS / his/her/their father (possessive referential term) / older brother/sister of immediate family of clan / fathers / your father (possessive referential term) / (my father) my/our father, and his/their father / father (address) / brother (of man) / forefathers, ancestors / older brother / older sister / his/their father / ? / father, uncle (father's brother) / (your) father (referential term) / father, uncle / his father / father (his) / (grandfather.3POSS) / father: father's brothers, mother's sisters' husbands / father (address), dad / paternal uncle / father.1POSS1 / deʔda / (his) father / father (reference)	
290	father-in-law	father-in-law	1055	FATHER-IN-LAW	father-in-law: husband's father, husband's uncles, wife's father, wife's uncles / father-in-law / parents-in-law to woman / father-in-law (used only by males)	
291	fault	fault	134	FAULT	[S] / [Y]	
292	feaces	feaces				
293	feast	feast			death feast / white magic / death feast, any feast / feast / structure designed for the exchange of taro in a formal manner / first produce of garden given to villagers with pig as ritualised thank offering	
294	feather	feather	1201	FEATHER	feather / bird feather / kil'eƀalupu / tail feather (possibly only of one species) / nuŋqwa tuam / doubtfull?? / bird hair	
295	feather-ornament	feather ornament				
296	fed	fed up (with)				
297	female	female	2105	FEMALE PERSON	+ animal / animal	
298	female-sex-organ	female sex organ	2260	FEMALE (OF PERSON)	female genitals (bad) / female sex organ / female genital; vulva / vagina / female sex organs (generally external organs, i.e. labia and clitoris)	
299	fence	fence	1690	FENCE	drop fence / garden fence / fence around garden / fence for garden / fence / +	
300	fern	fern				
301	festival	festival	131	FESTIVAL		
302	few	few	1242	FEW		
303	fifteen	fifteen	1709	FIFTEEN		
304	fifty	fifty	1717	FIFTY	five tens	
305	fig	fig	322	FIG		
306	finger	finger	1303	FINGER	claw / seven / little finger / finger (little ~) / hand, fingers / finger / little finger of the hand / middle point, point between two other points / nine / the middle, between / little finger, little toe / little finger/toe / between place / fingers / middle part of something / three middle fingers and toes / to conciliate two fighting factions, mediate, referee / fingers, toes / eight	
307	fingernail	fingernail	1258	FINGERNAIL	nail, finger nail or toe nail; claw / nail, finger / claw, nail: fingernail or toenail / fingernails, toenails; claws / finger nail / carapace of turtle / claw, fingernail / nail / -	
308	fire	fire	221	FIRE	any of the superscript? / fire / tree, fire / b is struck through / smoke / embers of a fire / fire, firebrand (lit: 'burning-wood/tree') / fire, burning stick or log / hɛgi / fire, tree / wood, fire, match / tree / fire, firewood / Daga - oma yámewa / (AN? Lavongai kut) / firewood / +	
309	firefly	firefly	206	FIREFLY	fireflies / phosphorescent / Pleiades constellation of stars / firefly / green / centipede / strawflowers	
310	fire-goes-out	(fire) goes out				BECOME EXTINGUISHED is transitive (passive), we don’t have DIE OUT.
311	firelight	firelight			flame / white / light / +	
312	fireplace	fireplace	185	FIREPLACE		
313	fire-tongs	fire tongs				TONGS 272 is not necessarily for fire; should map nonetheless?
314	firewood	firewood	10	FIREWOOD	'tree, wood, firewood'	
315	fish	fish	227	FISH	fish / kɔl'ume / one fish / fish sp. / tilapia / ?	
316	fishnet	fishnet	388	FISHNET		
317	fish-scale	fish scale	266	SCALE		
318	fish-sp-catfish	fish sp., catfish				
319	fish-spear	fish spear	841	FISHING SPEAR		
320	fishtrap	Fishtrap	389	FISH TRAP		
321	fish-weir	fish weir				Special kind of fishtrap
322	five	five	493	FIVE	short 'ö' / 4 + 1 / 'one hand' / hands on one side gone / five / 2+3 / 4+1 / < AN / ? / karaŋa kwʌkde	
323	flame	flame	889	FLAME	tree species that is used to make good canoes / a tree, whose wood is commonly used for carving axe handles / tree species (used as the main canoe log) / Royal Poinciana, Flame Tree, Flame of the Forest / large tree with red leaves like those of the okari tree / flame / twinkle	
324	flat	flat	1633	FLAT		
325	flea	flea	232	FLEA		
326	flesh	flesh	2259	FLESH	(of body) / [K]	
327	floor	floor	1632	FLOOR	'part of floor' / part of floor	
328	flower	flower	239	FLOWER	blossom, petal / seed / fruit / only verb; prob loan / /Indo. / petal, flower / blossoming sector of tree / fruit of tree / flowers of trees and bushes / seed; fruit / flower / blossom / (its) flower / ornamental flowers	
329	flute	flute	777	FLUTE		
330	flying-fox	flying fox	235	FLYING FOX	fruit bat, flying fox / large flying fox / flying fox / flying fox, fruit bat / oqiwa / +	
331	fly-sp	fly sp.	1504	FLY (INSECT)	blowfly (large) / fly / common housefly / house fly / marchfly / fly (insect) / horsefly / blowflies (stress uncertain) / housefly / horsefly, deerfly / mosquito	
332	fog	fog	249	FOG	fog / mist, rising from forest after rain / -	
333	food	food	256	FOOD	thing / food, things, deeds, property / food / things / food, things	
334	foot	foot	1301	FOOT	foot / Daga - be guriwa / 'leg, foot' / foot (his) / (its) foot / also 'leg'	
335	for-benefactive	for (benefactive)				
336	for-benefactive-clitic	for, benefactive (cliticised or suffixed to noun)			for (a thing) / for / to (dative), for (benefactive)	
337	forehead	forehead	123	FOREHEAD	maiga / forehead / Daga - namua	
338	forest	forest	420	FOREST	high forest / jungle, dense forest / jungle, bush / badly photocopied / L / bushland, hinterland / bush, also 'rubbish, trash' (PL only) / bush / woods / jungle, dense virgin forest on the mountains / ? / forest / -	
339	four	four	1500	FOUR	two and two / < AN? / four	
340	fourteen	fourteen	2451	FORTEEN		
341	friend	friend	1325	FRIEND	friend, mate, boyfriend, male friend of a male / brother-in-law (wife's younger sister's husband) / friend / friend, mate, boy's male friend / great-grandfather / brother-in-law: wife's younger sister's husband	
342	frog	frog	503	FROG	big brown frog / large frog / frog variety / Green Tree Frog / frog / green frog / big frog / 'frog variety' / green/frog / from me / frog sp. / small green frog / [P] / small brown frog / +	
343	fruit	fruit	1507	FRUIT	cluster of fruit / fruit / (its) fruit / +	
344	full	full	1429	FULL	to be full (of water) / full / tagoʔai / it is full / verb 'to be' follows / 'I have eaten enough', no word for 'full' / (?) / (it is) full / full (of water) / full moon / [yeku] underlined / (vb.) to fill? / ? / - / (very) full	
345	fur	fur	580	FUR	feather / dog's fur / body hair / down on a bird / a type of flower found in kunai areas which has a hairy base like Banksia / hair, fur, feathers / hair on body; fur; feathers / expression signifying male youth due to growth of whiskers / hair' (expected form u-e) / fur (of dog) / (dog's) fur	
346	gall	gall				
347	garden	garden	586	GARDEN	garden / (yam) garden / dot under [γ] / garden, work / + / garden; work / work / fence / work, garden	
348	gecko	gecko	2355	GECKO	gecko / lizard / Striped Gecko	
349	ghost	ghost	1175	GHOST		
350	ginger	ginger	2500	GINGER		
351	girl	girl	1646	GIRL	'young woman'? / mother-in-law / girls / my child (daughter) / father's sister's girl / mother's brother's girl, mother's sister's girl / son-in-law / girl / sibling (opposite sex, older) / mother's brother's girl, father's sister's girl / child (male) / child of parents / single girl, maid, servant, daughter, niece / young girl / girl, daughter / [O] / daughter / virgin, abstinent, continent / - / child (female)	
352	give-me	give me!				
353	give-you	give you				
354	go	go!	695	GO	to gather several items with effort; to get, collect (using effort) / going and coming / going / go / the man will go tomorrow	
355	goanna	goanna				MONITOR LIZARD already used.
356	god	God	1944	GOD		
357	good	good	1035	GOOD	good / good night / adj / good; pretty / for inanimate objects / good, handsome, pretty, clean, correct / real / good thing or person / kʰay yɛpʌkʰ / good, true / good (of people) / good; clean / -	
358	goods	goods				
359	gourd	gourd	411	GOURD		
360	gourd-mans	gourd man's	2671	PENIS SHEATH	gourd (man's)	
361	grandchild	grandchild	1617	GRANDCHILD		
362	grandfather	grandfather	1383	GRANDFATHER	grandfather; ancestor; lineage, clan line; father-in-law (used only by females) / grandfather / grandfather: father's father, mother's father, grandfather's brothers and sisters; ancestor / grandfather, ancestor, clan/sib	
363	grandfather-grandchild	grandfather, grandchild			maternal uncle / grandfather / grandchild, nephew / grandfather, uncle, father-in-law / grandparent, grandchild / grandchild	
364	grandmother	grandmother	1496	GRANDMOTHER	grandmother: father's mother, mother's mother, grandmothers' sisters, grandfathers' sisters; female ancestor / my husband / grandmother / grandmother; female ancestor / grandmother, woman's mother-in-law	
365	grandparent	grandparent	2399	GRANDPARENT		
366	grandson	grandson	1618	GRANDSON		
367	grass	grass	606	GRASS	grass / Torenama dialect / Mai dialect / kunai grass / a tough tall-growing species of grass	
368	grasshopper	grasshopper	607	GRASSHOPPER	grasshopper; locust / grasshopper	
369	grass-skirt	grass skirt	328	GRASS-SKIRT		
370	greedy-selfish	greedy, selfish	2018	GREEDY		
371	green	green	1425	GREEN	green (lit. raw leaf) / mʌk'mʌga / middle shade / dark / green / green parrot / green/blue / [?] / Austronesian loanword / no word for green, refer to anything green as green tree leaves, 'grinpeleisi' an adoptation from English/pidgin / green/frog / green/bue / Vcls 1 (AN: Nalik mÉ™rÉ™xÉ™'wa, Madak mÉ™maxa) / -	
372	green-coconut	green coconut	3034	GREEN COCONUT		
373	greens	greens			greens / cabbage / aibica, a dark green leafy vegetable similar to spinach but more oily / greens type / edible grass grown for cooking / aibica / variety of greens / amaranthus (edible variety) / green vegetables	
374	groin	groin				Not in Concepticon.
375	ground	ground	2159	GROUND	ground, earth / ground, soil / ground, country, earth / place / (my) land, ground, place / earth, ground / ground / -	
376	ground-possum	ground possum				POSSUM already used (we also have `tree possum`)
377	g-string	g-string	468	G-STRING		
378	guard	guard	1940	GUARD		
379	guts	guts	1334	GUTS	lungs, lung and neck and chest area, feelings, seat of emotions / to have compassion/mercy / sweet / mercy / liver, a visceral organ; desire, love, wish / sole of foot / delicious, sweet / lungs; chest cavity; soul, seat of emotions / breastbone / internal organ, sweet/fat / palm of hand / chest / sympathy / small brown ant that eats sweet things / the hollow inside / centre of emotions, heart / inside / visceral organ / lungs / liver / the inside of something / womb / gall bladder: inedible small organ of the body / (his) liver / (the) inside (of a thing) / guts / fat / heart / throat, upper chest area; seat of emotions, soul / includes general insides of belly, 'offal' / inside; inside part, internal or inner part of a room/thing/person/object / clean your hearts (wipe your insides) / tree sap / milk, sap, honey, oil / internal organ / grease	
380	hair	hair	1040	HAIR	also means fur and feathers / body hair / hair (body) / [P] feathers, leaf / 'hair of head' / old term almost replaced by /sivuÉ°a/ / back of head / ringlets of hair at the back of the head / -te 'our'? / hair / [K] / feather / Daga - iɛ́gumewa / animal fur / same as 'head' / (its) hair / head / hair my  / - / fur / of head / (my) / fur, body hair / feathers, leaf / of body / hair, feather, leaf / hair,head / ? / hair of head / my hair / my hair of head / 'dɔmɔn kʌlɩgʌ / hair (my) / feather, fur / his hair / hair, fur, feather / head hair	
381	hair-body	hair (body)	189	BODY HAIR		
382	half-full	half-full	816	HALF		
383	hand	hand	1277	HAND	hand my / my hand / kalavai / kun / (his) hand / hand / ? / hand (my)	
384	hard	hard	1884	HARD	hard	
385	hat	hat	771	HAT		
386	hawk	hawk	307	HAWK	hawk	
387	head	head	1256	HEAD	bow of canoe from base of tree; top of drum where lizard skin is; back of book / (its) head / hollowed-out coconut with a small hole used in ancestral days for hauling water / head of the body, head of a line of people, leader of a group of people / -te 'our'? / first / my head / to tɛpi / hair / [K] / hair on head / head / hollowed-out coconut used as water carrier / his head / headache / nape / - / lips / eye / my hand / head; head/leader of a line; head of a pig; bow of a canoe; coconut water jug / head, forehead / head, hair / my forehead / skull / Daga - iánua / head my / forehead / first, before / first, at first / smart, nimble-minded / first superscript ɪ not provided by IPA Unicode system. Thus replaced by supersctipt i / (his) mouth / lip / brain, marrow / head (my) / white hair / head (his) / i^ as fricativised i / [final symbol unclear] / same as 'hair' / this is the small alpha, but on my interface doesn't quite look like it	
388	headache	headache				
389	head-covering	head covering			headband of rattan on which feathered headdress is superimposed / skull / crown / pandanus rain cape	HEADDRESS is not close enough
390	headman	headman	301	CHIEFTAIN		
391	head-ornament	head ornament				
392	headwaters	headwaters	2672	HEADWATERS	headwaters	
393	heart	heart	1223	HEART	heart my / his heart / 'our'? / (its) heart / (his) heart / doubtfull??  / 'kowe' = lungs / ? / my heart / heart' (unexpected form; initial glottal stop expected) / heart (my) / heart / heart, unripe coconut / heart (his) / +	
394	heavy	heavy	1210	HEAVY	verb 'to be heavy' / heavy / large village / adj / heavy (Dogoro loan) / (v) / (very) heavy / (object) / heavy thing / kʰay yubusɩkʰi / (person) / +	
395	heel	heel	980	HEEL	[W]	
396	help	help	1897	HELP		
397	here	here	136	HERE	it was here / -	
398	he-she	he, she, it (pronoun d:3s)	262	HE OR SHE OR IT	+ he / masc / she (emphɔ / emph / fem -- much variation across pronominal functions / SG in original doc / [K] / she / for him/her / he, she, it'; 3sg pronoun / he, she, it (3sg pronoun) / lɨkiyo / he	
399	he-she-it-those	he, she, it, that, those			cf. ewe 'he, she, it' / 'he, she, it' / he, she, it / [W] that, those	
400	high	high	1265	HIGH	tall, high	
401	high-tide	high tide	613	HIGH TIDE		
402	hill	hill	614	HILL	eyebrow / mountain / hill	
403	him-her-it	him, her, it (pronoun o:3s)				
404	hip	hip	1745	HIP		
405	his	his, hers, its (pronoun p:3s)	2092	HIS OR HER	[P] / [K] / gen.	
406	hole	hole	1667	HOLE	hole (in ground) / also 'in' / dig / drain / well / earhole / footprint / hole in material things / dibble hole / hole in canoe or boat / is it a hole? / hole / division, crack / also in / hole in ground / make hole in ground	
407	honey-bee	(honey) bee	665	BEE	bee / (honey) bee	
408	honey-beehive	honey, beehive	88	BEEHIVE	sweet (like honey) / beeswax / beehive / honey / very sweet, cloying / honey bee's nest / honey, beeswax	
409	horn	horn	1393	HORN (ANATOMY)	tusk / horn (shark fin)	
410	hornbill	hornbill	3260	HORNBILL	hornbill / New Guinea Hornbill (Rhyticeros plicatus (jungei)), Papuan Hornbill (Aceros plicatus) / hornbill bird	
411	hot	hot	1286	HOT	worry / hot water / hot (of water) / fire / pain / feverish, hot / hot (water, food) / hot / warm, hot (water) / pleased with / +	
412	house	house	1252	HOUSE	Austronesian / ground / men's house or community house / 'kʰulil / s. / men's part of the house / toy, ornament, property / house / (also 'roof') / Austronesian loanword / house, place / men's house / [A] / pl. / - / 'village'	
413	house-of-man-greeting	house of man, greeting	408	MEN'S HOUSE	'O brother' / living and being, making one's home, lifestyle / single boy's house built high off the ground / greeting / abide, continue, or remain / home, welcome / 'O father' / men's house / house (man) / welcome / leading sib's house for important discussions; gazebo / gazebo, sitting porch	
414	house-of-woman	house of woman			house interior; trapdoor / house (woman) / woman's house / house / platform built in tree for defense and protection / threshold, house / door	
415	house-posts	house posts	281	POST	'log in ground oven' / house posts, piles, stumps / foundation, posts / post, pillar / posts, piles, studs of house / house posts	
416	how	how	1239	HOW	'like what' / how / how?	
417	how-many	how many?	822	HOW MANY		
418	how-much	how much?	531	HOW MUCH	how much / how much?	
419	human	human	683	PERSON		
420	husband	husband	1200	HUSBAND	husband / your husband / same as man / man, male, husband / man, husband / suffix used to express someone's husband / my husband / brother-in-law: female address and reference term for husband's younger relatives and sister's husband	
421	husband-and-wife	husband and wife				
422	husk-nut	husk (of nut)	2363	CHAFF (HUSK)		
423	ice	ice	617	ICE		
424	if	if	1459	IF	if, when (conditional verb suffix) / real condition / conditional verb suffix, past and future tenses / irreal condition / when, if (past tense), after, then / if	
425	ignite	ignite	737	LIGHT (IGNITE)	ignite (or stress possibly before j instead) / light (ignite) / red, ignite	
426	immediate-imperative-plural-verb-suffix	(immediate) imperative plural verb suffix			imperative plural suffix	
427	inconsequential	inconsequential				
428	inessive	inessive				Marker for the inessive case.
429	front	in front	1883	IN FRONT OF		
430	in	in, inside	1606	INSIDE	inside / also hole / inside, under / in, hole / in / inside, interior / -	
431	-law	in-law			in-law.1POSS	
432	inner-mouth	inner mouth				
433	insect-sp	insect sp.	620	INSECT	fruitflies; biting insect similar to digger wasp: chiggers? / a fly / gnats, fruitflies / gnats, small mosquitoes, fruitflies / sand bug / mosquito	
434	interior	interior	1606	INSIDE		
435	interrogative	interrogative				
436	interrogative-particle	interrogative particle			question marker (suffixed to subject) / question marker (on pronoun subject) / question form of specifier (on subject mostly) / yes/no interrogative particle, sentence initial / interrogative particle (generally suffixed to subject)	
437	intestines	intestines	1991	INTESTINES		
438	intrnasitivizer	intransitivizer			rope breaks, stone breaks	
439	i	I (pronoun d:1s)	1209	I	female / I (1sg) / I (male) / I / 2nd word: Laiapo dialect (?) / emph. / me / I (informal) / I (female) / male / +	
440	iron-tool	iron tool			spear, iron tool: having iron as its basic component / any metal implement, e.g. fish spear, tape recorder, radio (Motu loan) / wire, gun, iron, etc. / arrow (spear) / spear tip / spear, iron tool / fish spear with several iron prongs (lit: 'iron')	
441	ironwood	ironwood				Olneya tesota
442	i-see-the-snake	i see the snake				
443	island	island	622	ISLAND		
444	itchy	itchy	149	ITCHY		
445	jaw	jaw	798	JAW	jaw	
446	jobs-tears-seeds	Job's tears seeds	3281	JOB'S TEARS		
447	joint	joint	999	JOINT		
448	just	just	84	JUST		
449	kangaroo	kangaroo	164	KANGAROO		Probably tree-kangaroo
450	kidney	kidney	489	KIDNEY		
451	kinsman	kinsman				Not in Concepticon, probably needed
452	knee	knee	1371	KNEE	(his) knee / my knee / (egg) / knee' (e unexpected; o expected) / his leg joint / knee (my) / + (goɫ) / Daga - omaniwa / back of knee / knee / knee my / [O] / [K]	
453	knife	knife	1352	KNIFE	made from pig's bone / knife (Motu loan) / wooden sword, large knife / knife handle / knife (cooking or bush) / amɛnogo wayña / knife (generic term) (Motu) / knife / small knife / small knife (introduced) / very short round wooden fighting club (Mokorua dialect) / knife (small)  (loanword) / made from kangaroo bone / traditional axe / bush knife / [P] / bush knife or machete (Motu loan)	
454	knot	knot	760	KNOT	fasten	
455	knot-in-wood	knot in wood				
456	knowledge	knowledge				
457	knuckle	knuckle	2824	KNUCKLE	knuckle	
458	kookaburra	kookaburra				Bird genus Decelo
459	kunai	kunai	1901	SHOVEL	grass / elephant grass / kunai grass / kunai grass, elephant grass / kunai / kunai grass: elephant grass with nettles	
460	lake	lake	624	LAKE	lake / araa = water / lagoon, lake	
461	lance	lance				SPEAR 945 already used; the difference is probably that a spear is intended to be thrown and a lance to be carried
462	land	land	626	LAND		
463	language	language	1307	LANGUAGE	word, language	
464	later	later	477	LATE		
465	lavalava-sarong	lavalava (sarong)			lavalava, wrap-around skirt / clothing / cloth: women's skirt, laplap, lavalava / wrap-around tapa, lavalava, skirt / cloth; lavalava, women's clothing or skirts	a single rectangular cloth worn as a skirt
466	leaf	leaf	628	LEAF	leaf / leaf, spear / leaves / leaf, hair (of head) / young leaf / Daga - baewa / (its) leaf / 'leaf, feathers, hair' / generic term for leaf / (tree) leaf / leaf, flower	
467	leaf-decoration	leaf decoration				
468	leaf-woven-item	leaf-woven item			coconut mat / mat (coconut) / mat (pandanus) / basket	
469	leave	leave	1752	LEAVE		
470	lee	lee			lee shore, sheltered side of peninsula / cliff / bay	An area sheltered from the wind
471	leech	leech	949	WATER LEECH	leech / leeches	
472	left-arm	left (arm)			-	
473	left-hand	left (hand)	2182	LEFT HAND	lefthand / left hand or left direction / left hand / prob 'left hand(ed)' / left (direction, side, etc.) / left	
474	left-side	left-side	244	LEFT	left-side (his) / left side	
475	leg	leg	1297	LEG	Daga - bewa / *Moszkowski list / two legs / my leg = 'ki teu' / leg / (thigh) / (foot) / -	
476	leg-foot	leg, foot	2098	FOOT OR LEG	foot, leg / foot (my) / thigh / his leg / root / bone / back of knee / (northern dialect) / foot my / leg, foot / my foot	
477	light	light	630	LIGHT (RADIATION)	light, brilliance, glory / kʰay wolinakʰi / light, brightness, glory / light (not heavy) / weight / [S] / light weight / brightness, brilliance, light / light (weight) / light / sun, light	
478	lightning	lightning	1654	LIGHTNING	meteorite, comet, shooting star / sparkling / to shine/glisten from being greased or polished / angry / (AN loan) / bright shining on glass or metal, lightning / lightning (older form) / to sparkle, be immaculate, be spotlessly clean / lightning / shining, polished, glorious, triumphant / thunder / -	
479	like-similar	like, similar	1558	SIMILAR	like, resemble, similar / be like, resemble / like, similar / also 'together', 'with'	
480	lime	lime	982	LIME (FRUIT)	gourd vine; gourd lime pot; lime / pot / lime / lime, lime pot	
481	limestick	limestick			paddle / limestick/paddle / lime spatula / limestick / dibble stick / narrow paddle / digging stick / paddle a canoe or boat / lime stick	For capturing birds, not in Concepticon.
482	lips	lips	478	LIP	lip / [K] outer mouth / lips	
483	litter-rubbish	litter, rubbish	909	GARBAGE		
484	little-finger	little finger	2774	LITTLE FINGER	little toe / also 'little toe'	
485	little-toe	little toe				
486	lively-busy	lively, busy				
487	liver	liver	1224	LIVER	liver / his liver / also 'lung' / belly / my liver / wami bupbub̶y / liver (my) / lung(s) / (K.F.) / liver my / 'tusikⁿ / doubtfull?? / chest	
488	lizard	lizard	632	LIZARD	gecko; small bearded bush lizard / skink / lizard / skink, lizard / generic word for lizard, lizard skin is used to make the tympanum of kundu drums / gecko, (small bearded bush) lizard / little house-lizard / monitor lizard, drum of lizard skin / lizard (skin is used for the tympanum of kundu drums) / lizard (drum skins) / lizard (skin is used for kundu drum) / gecko	
489	locative	locative				
490	locative-noun-suffix	locative noun suffix			at (with temporals) / at' (in addition to -de, -he) / premodifier suffix or oblique case suffix	
491	locative-noun-suffix-at-to-from	Locative noun suffix (at, to, from)			to, in, from / at, to / at, to, from / at, from / to me	
492	loincloth	loincloth	1965	LOINCLOTH	man's or woman's dress / loincloth for men / grass skirt / shield / loincloth, shield / loincloth / woman's clothes / large body shield used in fighting made from the buttress roots of the (banyan?) tree / bark cloth/clothes / calico	
493	loins	loins	187	LOIN		
494	long	long	1203	LONG	ɔl'uvu / kʰay kʰoŋkʰiakʰi / far / adj / house (my) / of time / long; tall / very tall / long (way) / to be long / long / horizontally long; tall / also 'high' / long way / tall (generic) / - / straight	
495	loose	loose	2506	LOOSE	loose / (v) / loose (untie) / loose, flopping, hanging off	
496	louse	louse	1392	LOUSE	louse (my) / louse, tick / lice, louse / [S] / Daga - otua / head louse / my louse / lice / lice (on humans) / body louse / (many men) / [Y] / louse egg / louse	
497	low-beneath	low, beneath	1485	BELOW OR UNDER		
498	lower-arm	lower arm	446	LOWER ARM		
499	lower-back	lower back				
500	lungs	lungs	688	LUNG	(?)	
501	machete	machete	2680	MACHETE		
502	magic	magic	392	MAGIC	poison; sorcery / magic / poison; sickness; sorcery, black magic / sorcery / practise sorcery (lit: 'hold poison') / plant emblem / poison, magic, sickness, disease / poison, sorcery / poison, sorcery potions / sorcery and its implements, resulting sickness	
503	to-make-hole	make hole (in ground)	1418	DIG		
504	make-war	make war	2208	BE AT WAR		
505	male	male	1553	MALE	male animal / man, male, husband / animal / the Zia people / [W] / male / male - animal / man	
506	malicious	malicious			[S] / [Y]	
507	mallet	mallet	1481	HAMMER	mallet for sago / mallet / wooden head of sago mallet / adze for sago	No other hammer in the concept list.
508	man	man	1554	MAN	s. / man, male, husband / white man / old man, singular / my husband / person, man? / ƀe / plural / man, husband / child (male) / old man, plural / + / singular / man, person; husband / Daga - apan  / young man / person, one village group / person, people / pl. / man / husband / old man / you / *Moszkowski list / v?	
509	mango	mango	2398	MANGO	large bush mango tree / mango / mango tree	
510	mangrove	mangrove	350	MANGROVE		
511	mans-father-law	mans' father in law	2255	FATHER-IN-LAW (OF MAN)		
512	mans-mother-law	man's mother in law	2257	MOTHER-IN-LAW (OF MAN)		
513	many	many	1198	MANY	(company of men) / many / many things/people / - / many men	
514	marsupial	marsupial				
515	mask	mask	2005	MASK	large wooden mask	
516	mat	mat	195	MAT		
517	maternal-uncle	maternal uncle	3220	MATERNAL UNCLE	brother-in-law; sister-in-law / maternal uncle / males of mother's clan	
518	matoa	matoa				Pometia pinnata is a large tropical hardwood and fruit tree species, with common names including matoa, taun tree, island lychee, tava
519	meat	meat	634	MEAT	fish, meat / meat / meat/flesh / balkami / (its) meat / muscle; meat, flesh / generic term for fish / game / meat, muscle, food / flesh, muscle / flesh (his) / flesh, clitoris / fish (generic term); meat to be eaten / Daga -man / many meat / flesh, meat / 'what you have with the carbo hydrates (Tok Pisin abus)' / jiketeh (bakateh) / generic term for edible game meats; fish / pig meat / lean meat / 'meat of fish' / one meat / meat, flesh / muscle, meat / clitoris / fish / meat/fish / fish (generic term) / pig / = pig, the word used for meat / flesh / meat, animal / pɔl'u	
520	meat-game	meat (game)				
521	medial-sequential-suffix	Medial Sequential Suffix			completive action ss (sg), 'having V-ed then… / having finished that, and then (Medial Sequential Suffix) / and then	
522	medial-ss-verb-suffix	Medial SS Verb Suffix			medial ss verb suffix	
523	medial-verb-suffix	Medial Verb Suffix			medial verb suffix / until	
524	medial-verb-suffix-ds	Medial Verb Suffix DS			medial verb suffix DS, 'when / medial verb suffix DS, 'and, when / medial verb suffix DS seq, 'and / medial verb suffix DS	
525	me	me (pronoun o:1s)	2301	ME		
526	midday	midday	12	MIDDAY		
527	middle-tongue	middle, tongue			middle, tongue / middle, centre	Supposed to be a colexification?
528	midrib	midrib				The midline of a leaf
529	milk	milk	635	MILK	(breast) milk	
530	mirror	mirror	1171	MIRROR		
531	molartooth	molar/tooth	1049	MOLAR TOOTH	[O] / inner mouth / tooth, molar	
532	monitor-lizard	monitor lizard	3017	MONITOR LIZARD		Probably only the Komodo dragon, but we also have `goanna` in this list (and not in Concepticon).
533	month	month	1370	MONTH	month	
534	moon	moon	1313	MOON	Elephant's Snout Volute / Daga - siragam / month; moon (primarily temporal, not spatial) / (AN loan) / overripe / moon (Mokorua dialect) / (Acɨ dialect) / moon, month / ripe (banana) / Proto-Oceanic Loan / ripe / moon / +	
535	morning	morning	1339	MORNING	daylight, sun(light) / morning, day / note  ̣ under both γ / day / underlined / daylight / tomorrow / time / daylight, dawn / [W] / - / yesterday / the man will go tomorrow / kutuma = night + raga = ?  / ? / morning / daylight; time; season	
536	mosquito	mosquito	1509	MOSQUITO	singular / plural / (AN loan) / mosquito (generic term) / small; a chip; minute / gnat / - / mosquito	
537	mother	mother	1216	MOTHER	mother (nominative) / mother, mother's sister, mother's female cousin, father's brother's wife / mother; aunt: mother's sister, father's brother's wife; second cousin: mother's female cousin, father's male cousin's wife / your mother (inalienably possessed form) / (his) mother / child's address / same in Nalik, Nochi, Madak ('my mother') / mother, his/her/their mother (inalienably possessed kin term) / mother, female, mother's sister / your mother (possessive referential term) / my mother / (your) mother (referential term) / mother: father's wife, father's brother's wife or male cousin's wife, mother's sister or female cousin / bee (lit: 'honey mother') / mother, mother's sister, father's brother's wife / (my) mother / + / female animal / mother or mother's sisters (of the same clan) / daughter-in-law (lit: 'son woman') / paternal aunt / older root? base of collective forms / my / his/her/their mother (possessive referential term) / his mother / [P] / ? / (his, her, their) mother (referential term) / mother *ai, / mum, mummy / mother (his) / mother / one's own mother / his / maternal ancestors/mothers / mother, your mother (referential, inalienably possessed kin term)	
538	mother-and-child	mother and child				
539	mother-in-law	mother-in-law	1050	MOTHER-IN-LAW	mother-in-law: referential term for spouse's mothers and aunts / mother-in-law / her/his/their mother-in-law / mother-in-law (male referential term?) / mother-in-law to man / mother-in-law, daughter-in-law / father-in-law to man, mother-in-law to man / mother-in-law, wife's father's sisters / mother-in-law (used only by males)	
